path,label,emotion_name
/content/TESS_Toronto_emotional_speech_set_data/OAF_happy/OAF_jug_happy.wav,3,happy
/content/TESS_Toronto_emotional_speech_set_data/YAF_neutral/YAF_pad_neutral.wav,4,neutral
/content/TESS_Toronto_emotional_speech_set_data/YAF_sad/YAF_juice_sad.wav,6,sad
/content/TESS_Toronto_emotional_speech_set_data/OAF_Sad/OAF_when_sad.wav,6,sad
/content/TESS_Toronto_emotional_speech_set_data/OAF_Fear/OAF_wife_fear.wav,2,fear
/content/TESS_Toronto_emotional_speech_set_data/YAF_angry/YAF_tip_angry.wav,0,angry
/content/TESS_Toronto_emotional_speech_set_data/OAF_Fear/OAF_check_fear.wav,2,fear
/content/TESS_Toronto_emotional_speech_set_data/OAF_Sad/OAF_time_sad.wav,6,sad
/content/TESS_Toronto_emotional_speech_set_data/OAF_Pleasant_surprise/OAF_fit_ps.wav,5,pleasant_surprise
/content/TESS_Toronto_emotional_speech_set_data/OAF_happy/OAF_sheep_happy.wav,3,happy
/content/TESS_Toronto_emotional_speech_set_data/YAF_pleasant_surprised/YAF_wife_ps.wav,5,pleasant_surprise
/content/TESS_Toronto_emotional_speech_set_data/YAF_pleasant_surprised/YAF_walk_ps.wav,5,pleasant_surprise
/content/TESS_Toronto_emotional_speech_set_data/OAF_neutral/OAF_sell_neutral.wav,4,neutral
/content/TESS_Toronto_emotional_speech_set_data/OAF_Sad/OAF_get_sad.wav,6,sad
/content/TESS_Toronto_emotional_speech_set_data/OAF_disgust/OAF_thin_disgust.wav,1,disgust
/content/TESS_Toronto_emotional_speech_set_data/OAF_disgust/OAF_keg_disgust.wav,1,disgust
/content/TESS_Toronto_emotional_speech_set_data/OAF_angry/OAF_ton_angry.wav,0,angry
/content/TESS_Toronto_emotional_speech_set_data/OAF_Fear/OAF_yes_fear.wav,2,fear
/content/TESS_Toronto_emotional_speech_set_data/OAF_happy/OAF_whip_happy.wav,3,happy
/content/TESS_Toronto_emotional_speech_set_data/YAF_pleasant_surprised/YAF_choice_ps.wav,5,pleasant_surprise
/content/TESS_Toronto_emotional_speech_set_data/YAF_neutral/YAF_dip_neutral.wav,4,neutral
/content/TESS_Toronto_emotional_speech_set_data/OAF_angry/OAF_numb_angry.wav,0,angry
/content/TESS_Toronto_emotional_speech_set_data/OAF_Fear/OAF_join_fear.wav,2,fear
/content/TESS_Toronto_emotional_speech_set_data/OAF_Fear/OAF_read_fear.wav,2,fear
